GlucoseInternalTime,GlucoseValue
1447346539.0,10.10
1447346839.0,10.10
1447347139.0,10.16
1447347439.0,10.16
1447347739.0,9.88
1447348039.0,9.54
1447348339.0,9.27
1447348639.0,9.10
1447348939.0,9.05
1447349239.0,9.05
1447349539.0,9.05
1447349839.0,9.38
1447350139.0,9.66
1447350439.0,9.88
1447350739.0,10.10
1447351039.0,10.16
1447351339.0,10.60
1447351639.0,11.04
1447351939.0,11.10
1447352239.0,11.43
1447352539.0,11.27
1447352839.0,11.27
1447353139.0,11.04
1447353439.0,10.60
1447353739.0,10.21
1447354039.0,10.04
1447354339.0,10.16
1447354639.0,10.49
1447354939.0,10.43
1447355240.0,10.27
1447355539.0,10.04
1447355840.0,9.99
1447356139.0,9.93
1447356439.0,9.88
1447356740.0,9.66
1447357039.0,9.54
1447357339.0,9.54
1447357639.0,9.49
1447357939.0,9.32
1447358239.0,9.21
1447358539.0,9.16
1447358840.0,8.99
1447359139.0,8.82
1447359439.0,8.77
1447359739.0,8.66
1447360039.0,8.55
1447360339.0,8.49
1447360639.0,8.49
1447360939.0,8.60
1447361239.0,8.77
1447361539.0,9.10
1447361839.0,9.49
1447362139.0,10.04
1447362439.0,10.38
1447363039.0,11.10
1447363340.0,11.32
1447363639.0,11.49
1447363939.0,11.60
1447364239.0,12.15
1447364539.0,12.49
1447364839.0,12.76
1447365139.0,12.87
1447365439.0,12.82
1447365738.0,12.93
1447366038.0,13.10
1447366338.0,13.10
1447366640.0,12.76
1447366938.0,12.65
1447367238.0,12.71
1447367539.0,12.76
1447367838.0,13.10
1447368138.0,13.26
1447368440.0,13.21
1447368738.0,13.21
1447369038.0,13.26
1447369338.0,13.49
1447369638.0,13.60
1447369938.0,13.65
1447370239.0,13.60
1447370538.0,13.60
1447370838.0,13.60
1447371138.0,13.76
1447371438.0,13.98
1447371738.0,14.10
1447372038.0,14.10
1447372338.0,14.15
1447372638.0,14.32
1447372939.0,14.37
1447373538.0,14.04
1447373839.0,13.93
1447374138.0,13.93
1447374439.0,13.82
1447374738.0,13.71
1447375039.0,13.71
1447375338.0,13.60
1447375638.0,13.43
1447375938.0,13.15
1447376238.0,13.21
1447376538.0,13.21
1447376838.0,13.21
1447377138.0,13.37
1447377438.0,13.43
1447377738.0,13.60
1447378038.0,13.49
1447378338.0,13.43
1447378638.0,13.37
1447378939.0,13.21
1447379238.0,13.04
1447379538.0,12.99
1447379838.0,12.99
1447380140.0,12.93
1447380438.0,12.71
1447380738.0,12.54
1447381038.0,12.54
1447381338.0,12.65
1447381638.0,12.54
1447381940.0,12.49
1447382239.0,12.15
1447382538.0,11.82
1447382838.0,11.54
1447383138.0,11.21
1447383438.0,10.88
1447383738.0,10.60
1447384038.0,10.38
1447384338.0,10.27
1447384638.0,9.99
1447384938.0,9.77
1447385238.0,9.43
1447385538.0,9.16
1447385838.0,8.99
1447386138.0,8.77
1447386438.0,8.66
1447386738.0,8.27
1447387038.0,7.82
1447387338.0,7.55
1447387638.0,7.38
1447387938.0,6.94
1447388238.0,6.60
1447388538.0,6.38
1447388838.0,6.16
1447389138.0,5.88
1447389438.0,5.66
1447389738.0,5.55
1447390038.0,5.33
1447390338.0,4.94
1447390638.0,4.77
1447390938.0,4.72
1447391238.0,4.72
1447391538.0,5.16
1447391838.0,5.72
1447392138.0,6.33
1447392438.0,6.94
1447392738.0,7.44
1447393038.0,7.71
1447393338.0,7.77
1447393638.0,7.71
1447393938.0,7.44
1447394238.0,7.21
1447394538.0,7.10
1447394839.0,7.16
1447395138.0,7.33
1447395438.0,7.38
1447395738.0,7.55
1447396038.0,7.66
1447396338.0,7.66
1447396638.0,7.55
1447396938.0,7.16
1447397238.0,6.66
1447397538.0,6.27
1447397838.0,5.94
1447398138.0,5.88
1447398438.0,6.16
1447398738.0,6.38
1447399038.0,6.60
1447399338.0,6.88
1447399638.0,6.88
1447399938.0,6.94
1447400238.0,6.94
1447400538.0,6.77
1447400838.0,6.77
1447401138.0,6.83
1447401438.0,7.05
1447401738.0,7.21
1447402038.0,7.44
1447402338.0,7.66
1447402638.0,7.49
1447402938.0,7.21
1447403238.0,7.10
1447403537.0,7.16
1447403838.0,7.27
1447404137.0,7.33
1447404437.0,7.27
1447404738.0,7.10
1447405037.0,6.88
1447405338.0,6.66
1447405638.0,6.60
1447405937.0,6.88
1447406237.0,7.21
1447406537.0,7.33
1447406837.0,7.71
1447407137.0,8.27
1447407437.0,8.77
1447407737.0,8.93
1447408037.0,8.99
1447408337.0,8.71
1447408638.0,8.49
1447408937.0,8.16
1447409237.0,7.88
1447409537.0,7.66
1447409837.0,7.77
1447410137.0,8.05
1447410437.0,8.27
1447410737.0,8.49
1447411037.0,8.66
1447411337.0,8.77
1447411637.0,8.88
1447411937.0,8.93
1447412237.0,8.93
1447412537.0,8.99
1447412837.0,9.10
1447413137.0,9.21
1447413437.0,9.38
1447413737.0,9.54
1447414037.0,9.71
1447414337.0,9.66
1447414637.0,9.60
1447414937.0,9.60
1447415237.0,9.66
1447415537.0,9.66
1447415837.0,9.60
1447416137.0,9.60
1447416437.0,9.54
1447416737.0,9.66
1447417037.0,9.88
1447417337.0,10.10
1447417637.0,10.32
1447417937.0,10.54
1447418237.0,10.82
1447418537.0,11.04
1447418837.0,11.32
1447419137.0,11.60
1447419437.0,11.88
1447419737.0,11.71
1447420037.0,11.99
1447420337.0,11.71
1447420637.0,11.49
1447420937.0,11.49
1447421237.0,11.49
1447421537.0,11.54
1447421837.0,11.60
1447422137.0,11.93
1447422437.0,11.99
1447422737.0,12.10
1447423037.0,12.21
1447423337.0,12.21
