Start,Finish,Heart Rate (count/min)
1447064040.0,1447064040.0,111.0
1447064040.0,1447064040.0,104.0
1447064040.0,1447064040.0,104.0
1447064040.0,1447064040.0,104.0
1447064040.0,1447064040.0,104.0
1447064040.0,1447064040.0,104.0
1447064520.0,1447064520.0,97.0
1447065180.0,1447065180.0,92.0
1447065960.0,1447065960.0,92.0
1447066680.0,1447066680.0,61.0
1447067340.0,1447067340.0,83.0
1447067880.0,1447067880.0,76.0
1447068480.0,1447068480.0,81.0
1447069020.0,1447069020.0,81.0
1447069740.0,1447069740.0,81.0
1447070280.0,1447070280.0,81.0
1447070880.0,1447070880.0,88.0
1447071480.0,1447071480.0,81.0
1447072140.0,1447072140.0,107.0
1447072740.0,1447072740.0,69.0
1447073280.0,1447073280.0,83.0
1447073880.0,1447073880.0,81.0
1447074420.0,1447074420.0,74.0
1447075140.0,1447075140.0,81.0
1447075980.0,1447075980.0,69.0
1447076580.0,1447076580.0,78.0
1447077300.0,1447077300.0,78.0
1447078080.0,1447078080.0,84.0
1447078920.0,1447078920.0,66.0
1447080780.0,1447080780.0,88.0
1447081320.0,1447081320.0,81.0
1447082580.0,1447082580.0,66.0
1447083420.0,1447083420.0,92.0
1447083960.0,1447083960.0,67.0
1447084500.0,1447084500.0,78.0
1447085100.0,1447085100.0,78.0
1447085640.0,1447085640.0,79.0
1447086300.0,1447086300.0,81.0
1447086900.0,1447086900.0,74.0
1447087620.0,1447087620.0,69.0
1447088160.0,1447088160.0,81.0
1447088700.0,1447088700.0,72.0
1447089300.0,1447089300.0,81.0
1447089960.0,1447089960.0,78.0
1447090620.0,1447090620.0,74.0
1447091220.0,1447091220.0,72.0
1447091880.0,1447091880.0,81.0
1447092420.0,1447092420.0,65.0
1447092960.0,1447092960.0,65.0
1447093560.0,1447093560.0,65.0
1447094100.0,1447094100.0,69.0
1447094760.0,1447094760.0,65.0
1447095660.0,1447095660.0,113.0
1447096200.0,1447096200.0,88.0
1447096860.0,1447096860.0,65.0
1447097460.0,1447097460.0,69.0
1447098060.0,1447098060.0,77.0
1447098660.0,1447098660.0,69.0
1447099200.0,1447099200.0,74.0
1447099800.0,1447099800.0,74.0
1447099860.0,1447099860.0,74.0
1447099860.0,1447099860.0,74.0
1447099920.0,1447099920.0,69.0
1447100400.0,1447100400.0,74.0
1447101000.0,1447101000.0,69.0
1447101600.0,1447101600.0,72.0
1447102140.0,1447102140.0,72.0
1447102740.0,1447102740.0,69.0
1447103280.0,1447103280.0,69.0
1447103820.0,1447103820.0,69.0
1447104420.0,1447104420.0,65.0
1447104960.0,1447104960.0,69.0
1447105500.0,1447105500.0,65.0
1447106220.0,1447106220.0,65.0
1447106820.0,1447106820.0,72.0
1447107360.0,1447107360.0,61.0
1447107900.0,1447107900.0,61.0
1447108440.0,1447108440.0,61.0
1447109040.0,1447109040.0,72.0
1447109760.0,1447109760.0,97.0
1447110300.0,1447110300.0,62.0
1447110840.0,1447110840.0,69.0
1447111440.0,1447111440.0,69.0
1447112040.0,1447112040.0,67.0
1447138740.0,1447138740.0,74.0
1447139280.0,1447139280.0,68.0
1447140780.0,1447140780.0,74.0
1447141380.0,1447141380.0,81.0
1447142040.0,1447142040.0,81.0
1447142580.0,1447142580.0,92.0
1447143240.0,1447143240.0,97.0
1447143780.0,1447143780.0,78.0
1447144380.0,1447144380.0,88.0
1447145100.0,1447145100.0,100.0
1447145700.0,1447145700.0,138.0
1447146360.0,1447146360.0,92.0
1447147020.0,1447147020.0,71.0
1447147680.0,1447147680.0,81.0
1447148280.0,1447148280.0,81.0
1447148940.0,1447148940.0,88.0
1447150020.0,1447150020.0,129.0
1447150740.0,1447150740.0,93.0
1447151280.0,1447151280.0,88.0
1447151880.0,1447151880.0,88.0
1447152480.0,1447152480.0,97.0
1447153080.0,1447153080.0,81.0
1447153620.0,1447153620.0,88.0
1447154520.0,1447154520.0,83.0
1447155120.0,1447155120.0,81.0
1447155960.0,1447155960.0,69.0
1447156620.0,1447156620.0,88.0
1447157160.0,1447157160.0,84.0
1447157700.0,1447157700.0,74.0
1447158600.0,1447158600.0,74.0
1447159260.0,1447159260.0,74.0
1447160160.0,1447160160.0,88.0
1447160700.0,1447160700.0,83.0
1447161960.0,1447161960.0,74.0
1447162620.0,1447162620.0,91.0
1447163160.0,1447163160.0,81.0
1447163820.0,1447163820.0,81.0
1447164480.0,1447164480.0,66.0
1447165080.0,1447165080.0,69.0
1447165680.0,1447165680.0,81.0
1447166220.0,1447166220.0,81.0
1447166880.0,1447166880.0,81.0
1447167780.0,1447167780.0,78.0
1447168380.0,1447168380.0,74.0
1447169220.0,1447169220.0,75.0
1447169820.0,1447169820.0,92.0
1447170420.0,1447170420.0,74.0
1447170960.0,1447170960.0,74.0
1447171560.0,1447171560.0,81.0
1447172280.0,1447172280.0,74.0
1447173120.0,1447173120.0,77.0
1447173660.0,1447173660.0,74.0
1447174200.0,1447174200.0,72.0
1447174800.0,1447174800.0,81.0
1447175340.0,1447175340.0,74.0
1447175880.0,1447175880.0,69.0
